Centennial Park - Moore Park,Train,69,5.1187,57,4.5455,84,6.3063,77,5.3696,85,5.9986
Centennial Park - Moore Park,Bus,376,27.8932,335,26.7145,367,27.5526,361,25.1743,370,26.1115
Centennial Park - Moore Park,Tram or Ferry,0,0,0,0,0,0,0,0,3,0.2117
Centennial Park - Moore Park,Taxi,30,2.2255,19,1.5152,26,1.952,28,1.9526,32,2.2583
Centennial Park - Moore Park,Car - as driver,452,33.5312,455,36.2839,461,34.6096,578,40.3068,534,37.6852
Centennial Park - Moore Park,Car - as passenger,34,2.5223,56,4.4657,59,4.4294,76,5.2999,83,5.8574
Centennial Park - Moore Park,Truck,0,0,0,0,9,0.6757,0,0,0,0
Centennial Park - Moore Park,Truck,0,0,0,0,9,2.027,0,0,0,0
Centennial Park - Moore Park,Motorbike,24,1.7804,8,0.638,9,0.6757,3,0.2092,12,0.8469
Centennial Park - Moore Park,Bicycle,40,2.9674,18,1.4354,21,1.5766,16,1.1158,19,1.3409
Centennial Park - Moore Park,Walked only,134,9.9407,120,9.5694,116,8.7087,97,6.7643,100,7.0572
Centennial Park - Moore Park,Other,16,1.1869,20,1.5949,12,0.9009,12,0.8368,12,0.8469
Centennial Park - Moore Park,Worked at home,56,4.1543,53,4.2265,55,4.1291,60,4.1841,27,1.9054
Centennial Park - Moore Park,Did not go to work,104,7.7151,97,7.7352,107,8.033,114,7.9498,99,6.9866
Centennial Park - Moore Park,Not stated,11,0.816,16,1.2759,6,0.4505,12,0.8368,41,2.8934
Centennial Park - Moore Park,Total employed persons aged 15+,1348,100,1254,100,1332,100,1434,100,1417,100
Chippendale,Train,406,15.9341,234,12.6383,266,13.9382,136,12.5162,93,12.1701
Chippendale,Bus,565,22.1743,397,21.4357,411,21.488,232,21.4391,179,23.5394
Chippendale,Tram or Ferry,0,0,3,0.1621,0,0,1,0.0554,3,0.3939
Chippendale,Taxi,37,1.4521,45,2.4295,21,1.0778,8,0.7113,9,1.2341
Chippendale,Car - as driver,409,16.0518,365,19.7086,393,20.5724,240,22.1411,165,21.6358
Chippendale,Car - as passenger,44,1.7268,37,2.0102,70,3.6624,51,4.7201,17,2.2712
Chippendale,Truck,0,0,0,0,3,0.157,0,0,0,0
Chippendale,Truck,0,0,0,0,3,0.4709,0,0,0,0
Chippendale,Motorbike,25,0.9812,16,0.8646,15,0.7691,9,0.859,6,0.7877
Chippendale,Bicycle,72,2.8257,19,1.0137,38,1.9725,14,1.3209,8,1.0897
Chippendale,Walked only,652,25.5887,481,26.0137,358,18.7464,197,18.1692,165,21.7146
Chippendale,Other,25,0.9812,41,2.1896,37,1.9149,7,0.6466,3,0.3939
Chippendale,Worked at home,87,3.4144,53,2.8381,76,3.992,36,3.2791,19,2.5338
Chippendale,Did not go to work,216,8.4772,141,7.628,199,10.4222,132,12.1559,61,8.0347
Chippendale,Not stated,8,0.314,20,1.0678,25,1.2871,22,1.986,32,4.2011
Chippendale,Total employed persons aged 15+,2548,100,1851,100,1911,100,1083,100,762,100
Darlinghurst,Train,894,13.1297,533,11.4993,708,14.3181,643,14.3692,475,12.6898
Darlinghurst,Bus,795,11.6757,495,10.689,577,11.6721,540,12.0626,610,16.2996
Darlinghurst,Tram or Ferry,3,0.0441,4,0.0863,3,0.0607,3,0.067,20,0.5212
Darlinghurst,Taxi,258,3.7891,100,2.1516,117,2.3708,142,3.1712,138,3.682
Darlinghurst,Car - as driver,1095,16.0817,946,20.4225,1003,20.2856,866,19.3376,606,16.206
Darlinghurst,Car - as passenger,101,1.4833,80,1.7372,131,2.65,118,2.6417,121,3.2423
